Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
SIMEULUE,2017,1821.75,91372.0,1897038.43,0.307,64.41
ACEH SINGKIL,2017,1852.82,11949.0,2126448.17,0.321,67.37
ACEH SELATAN,2017,4175.38,231893.0,4855005.68,0.321,65.03
ACEH TENGGARA,2017,4179.12,208481.0,4245132.35,0.284,68.09
ACEH TIMUR,2017,5409.41,419594.0,9104763.67,0.265,66.32
ACEH TENGAH,2017,4468.42,204273.0,6721944.77,0.238,72.19
ACEH BARAT,2017,2782.87,201682.0,6946915.79,0.333,70.2
ACEH BESAR,2017,2891.48,409109.0,11638043.32,0.291,72.0
PIDIE,2017,3177.49,432599.0,9186845.44,0.305,69.52
BIREUEN,2017,1796.99,453224.0,11410922.68,0.315,71.11
ACEH UTARA,2017,2705.26,602554.0,17502342.88,0.266,67.67
ACEH BARAT DAYA,2017,1882.28,145726.0,3394318.45,0.246,65.09
GAYO LUES,2017,5541.29,91024.0,2425648.98,0.301,65.01
ACEH TAMIANG,2017,2187.66,287007.0,6518270.47,0.295,67.99
NAGAN RAYA,2017,3524.16,161329.0,6571136.5,0.231,67.78
ACEH JAYA,2017,3872.35,89618.0,2275043.95,0.287,68.07
BENER MERIAH,2017,1907.4,142526.0,3998247.28,0.213,71.89
PIDIE JAYA,2017,939.0,154795.0,3012984.37,0.22,71.73
BANDA ACEH,2017,56.77,259913.0,16689219.39,0.314,83.95
SABANG,2017,122.06,33978.0,1272466.45,0.247,74.1
LANGSA,2017,224.24,171574.0,4538276.43,0.342,75.89
LHOKSEUMAWE,2017,132.97,19898.0,8070275.16,0.291,76.34
SUBULUSSALAM,2017,1183.6,78725.0,1535463.22,0.33,62.88
NIAS,2017,902.4,14211.0,3233557.98,0.249,60.21
MANDAILING NATAL,2017,6547.26,439505.0,11712509.18,0.252,65.13
TAPANULI SELATAN,2017,4201.04,278587.0,11967961.49,0.253,68.69
TAPANULI TENGAH,2017,2307.68,363705.0,8545375.88,0.306,67.96
TAPANULI UTARA,2017,3895.6,297806.0,6765691.15,0.329,72.38
TOBA SAMOSIR / TOBA,2017,2291.62,181790.0,6635270.67,0.292,73.87
LABUHAN BATU,2017,2772.38,478593.0,29032570.39,0.279,71.0
ASAHAN,2017,3737.83,718718.0,32020190.4,0.267,69.1
SIMALUNGUN,2017,4601.48,859228.0,32832126.15,0.255,71.83
DAIRI,2017,2083.6,281876.0,7980474.09,0.24,70.36
KARO,2017,2206.88,403207.0,18064319.94,0.268,73.53
DELI SERDANG,2017,2581.23,2114627.0,93193893.99,0.281,73.94
