Tahun,Provinsi,Kabupaten/Kota,Per day (ton),Per year (ton),,https://sipsn.menlhk.go.id/sipsn/public/data/timbulan
2019,Aceh,Kab. Aceh Selatan,95.93,"35,013.28",,
2019,Aceh,Kab. Aceh Tengah,100.97,"36,853.74",,
2019,Aceh,Kab. Simeulue,43.96,"16,044.14",,
2019,Aceh,Kab. Gayo Lues,37.64,"13,738.60",,
2019,Aceh,Kab. Bener Meriah,64.89,"23,683.10",,
2019,Aceh,Kota Banda Aceh,238.60,"87,088.96",,
2019,Aceh,Kota Sabang,21.61,"7,886.51",,
2019,Aceh,Kota Langsa,94.58,"34,522.61",,
2020,Aceh,Kab. Aceh Timur,57.60,"21,023.49",,
2020,Aceh,Kab. Aceh Tengah,101.55,"37,067.15",,
2020,Aceh,Kab. Simeulue,43.55,"15,897.10",,
2020,Aceh,Kab. Aceh Jaya,46.24,"16,876.51",,
2020,Aceh,Kab. Bener Meriah,64.65,"23,597.54",,
2020,Aceh,Kota Banda Aceh,243.29,"88,800.12",,
2020,Aceh,Kota Sabang,26.37,"9,624.82",,
2020,Aceh,Kota Langsa,95.17,"34,737.78",,
2021,Aceh,Kab. Gayo Lues,40.43,"14,757.24",,
2021,Aceh,Kota Banda Aceh,248.67,"90,765.86",,
2021,Aceh,Kota Sabang,16.83,"6,141.64",,
2021,Aceh,Kota Langsa,92.83,"33,883.32",,
2021,Aceh,Kota Subulussalam,45.29,"16,529.21",,
2022,Aceh,Kab. Aceh Selatan,96.49,"35,217.68",,
2022,Aceh,Kab. Aceh Tenggara,91.32,"33,332.97",,
2022,Aceh,Kab. Aceh Timur,173.14,"63,195.95",,
2022,Aceh,Kab. Aceh Barat,101.43,"37,021.59",,
2022,Aceh,Kab. Pidie,177.80,"64,897.73",,
2022,Aceh,Kab. Simeulue,44.61,"16,280.89",,
2022,Aceh,Kab. Aceh Singkil,52.77,"19,261.34",,
2022,Aceh,Kab. Aceh Barat Daya,77.67,"28,348.09",,
2022,Aceh,Kab. Gayo Lues,41.06,"14,986.02",,
2022,Aceh,Kab. Aceh Jaya,47.21,"17,231.29",,
2022,Aceh,Kab. Nagan Raya,69.36,"25,315.38",,
2022,Aceh,Kab. Aceh Tamiang,120.72,"44,062.80",,
2022,Aceh,Kab. Bener Meriah,65.99,"24,084.74",,
2022,Aceh,Kab. Pidie Jaya,79.53,"29,029.44",,
2022,Aceh,Kota Banda Aceh,252.21,"92,055.88",,
2022,Aceh,Kota Sabang,17.28,"6,308.37",,
2022,Aceh,Kota Langsa,94.44,"34,470.24",,
2022,Aceh,Kota Subulussalam,37.07,"13,529.97",,
2019,Bali,Kab. Jembrana,163.72,"59,757.44",,
2019,Bali,Kab. Badung,283.42,"103,447.64",,
2019,Bali,Kab. Gianyar,435.37,"158,910.05",,
2019,Bali,Kab. Bangli,108.03,"39,430.37",,
