Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Simeulue,1772573.67,1897038.43,2042836.42,2211885.58,2274361.94,2440961.41,2650278.35
Aceh Singkil,1980642.32,2126448.17,2255194.44,2395411.85,2422611.49,2702914.47,2984474.56
Aceh Selatan,4553857.69,4855005.68,5197229.43,5479425.66,5530754.59,5960868.39,6426567.77
Aceh Tenggara,3883184.62,4245132.35,4558765.21,4906917.38,5058528.79,5401589.45,5813672.27
Aceh Timur,8509744.24,9104763.67,9685702.94,10280799.51,10605784.63,11654830.15,13008657.84
Aceh Tengah,6307246.39,6721944.77,7178095.4,7472445.9,7387369.9,7999947.6,8827207.4
Aceh Barat,6184227.83,6946915.79,7692484.18,7964354.62,8109233.27,10007107.86,13346482.82
Aceh Besar,10969293.83,11638043.32,12446122.56,13241274.86,13329465.29,14023478.15,15381864.79
Pidie,8489561.55,9186845.44,9894667.92,10549225.37,10758805.68,11322893.27,12375223.06
Bireuen,10725724.92,11410922.68,12092521.62,12886847.77,13084368.05,14056534.53,15414461.17
Aceh Utara,16695688.08,17502342.88,18815382.43,19674952.38,19702646.76,23192935.1,28016455.64
Aceh Barat Daya,3174813.01,3394318.45,3635010.97,3854318.59,3917419.85,4134847.2,4534355.7
Gayo Lues,2233819.61,2425648.98,2549886.3,2608733.7,2693265.75,2854808.79,3067003.46
Aceh Tamiang,6063470.99,6518270.47,6991449,7385341.17,7512694.16,8862480.82,10329951.5
Nagan Raya,6159448.9,6571136.5,6926106.55,7411691.61,7656566.01,9185404.46,11322456.81
Aceh Jaya,2116116.47,2275043.95,2429231.64,2575142.32,2625734.25,2851397.37,3116831.18
Bener Meriah,3802333.7,3998247.28,4202084.4,4423114.94,4527816.08,4961937.18,5446973
Pidie Jaya,2770495.07,3012984.37,3240635.9,3449866.38,3500366.23,3669650.72,3968178.81
Kota Banda Aceh,15800612.43,16689219.39,17619854.62,18569075.19,18501628.13,19943395.17,21556951.29
Kota Sabang,1158445.21,1272466.45,1397797.45,1531587.09,1531407.09,1596295.22,1637267.99
Kota Langsa,4217198.5,4538276.43,4873136.18,5236223.62,5274021.46,5748993.79,6246284.71
Kota Lhokseumawe,7728897.06,8070275.16,8456724.3,8898379.69,8867266.49,9422285.89,10264425.37
Kota Subulussalam,1400474.98,1535463.22,1622893.4,1726924.11,1803678.42,2102899.14,2329706.99
Nias,2966279.12,3233557.98,3519073.75,3824854.92,4040917.36,4221862.94,4536220.11
Mandailing Natal,10660041.33,11712509.18,12618052.31,13544735.74,13843000.34,14880421.96,16403528.68
Tapanuli Selatan,10964765.64,11967961.49,12882177.87,13932335.09,14642157.51,15471446.89,17051888.23
Tapanuli Tengah,7849653.79,8545375.88,9229977.21,9956777.57,10138833.43,10618746.39,11635299.59
Tapanuli Utara,6300290.07,6765691.15,7296779.1,7889049.56,8274433.62,8800075.99,9645635.46
Toba Samosir,6123907.62,6635270.67,7161585.79,7675387.58,7845421.15,8266129.67,8943890.63
Labuhan Batu,26505435.84,29032570.39,31302582.6,33610429.38,34653178.75,37606878.29,41809008.33
Asahan,29206693.06,32020190.4,34664912.65,37440406.46,38691821.26,41994241.94,46575316.1
Simalungun,30122877.55,32832126.15,35444572.49,38057431.78,39441345.33,42576878.66,47285889.85
Dairi,7484071.46,7980474.09,8560775.5,9166421.25,9317911.39,9710798.66,10716944.44
