Province/Regency/City,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,70,70.6,71.19,71.9,71.99,72.18,72.8,73.4
Simeulue,63.82,64.41,64.74,65.7,66.03,66.41,67.27,68.06
Aceh Singkil,66.96,67.37,68.02,68.91,68.94,69.22,69.62,70.14
Aceh Selatan,64.13,65.03,65.92,66.9,67.12,67.44,67.87,68.44
Aceh Tenggara,67.48,68.09,68.67,69.36,69.37,69.44,70.32,71.05
Aceh Timur,65.42,66.32,66.82,67.39,67.63,67.83,68.72,69.32
Aceh Tengah,72.04,72.19,72.64,73.14,73.24,73.37,73.95,74.6
Aceh Barat,69.26,70.2,70.47,71.22,71.38,71.67,72.34,72.88
Aceh Besar,71.75,72,72.73,73.55,73.56,73.58,74,74.53
Pidie,69.06,69.52,69.93,70.41,70.63,70.7,71.2,71.66
Bireuen,70.21,71.11,71.37,72.27,72.28,72.33,73.16,73.63
Aceh Utara,67.19,67.67,68.36,69.22,69.33,69.46,70.22,70.87
Aceh Barat Daya,64.57,65.09,65.67,66.56,66.75,66.99,67.41,68.07
Gayo Lues,64.26,65.01,65.88,66.87,67.22,67.56,68.25,68.93
Aceh Tamiang,67.41,67.99,68.45,69.23,69.24,69.48,70.43,71.35
Nagan Raya,67.32,67.78,68.15,69.11,69.18,69.31,70.1,70.78
Aceh Jaya,67.7,68.07,68.83,69.74,69.75,69.84,70.36,70.88
Bener Meriah,71.42,71.89,72.14,72.97,72.98,73.27,73.9,74.49
Pidie Jaya,71.13,71.73,72.12,72.87,73.2,73.6,74.34,74.8
Kota Banda Aceh,83.73,83.95,84.37,85.07,85.41,85.71,86.28,86.69
Kota Sabang,73.36,74.1,74.82,75.77,75.78,76.11,76.85,77.52
Kota Langsa,75.41,75.89,76.34,77.16,77.17,77.44,77.82,78.36
Kota Lhokseumawe,75.78,76.34,76.62,77.3,77.31,77.57,78.04,78.92
Kota Subulussalam,62.18,62.88,63.48,64.46,64.93,65.27,66.2,67.1
SUMATERA UTARA,70,70.57,71.18,71.74,71.77,72,72.71,73.37
Nias,59.75,60.21,60.82,61.65,61.93,62.74,63.69,64.56
Mandailing Natal,64.55,65.13,65.83,66.52,66.79,67.19,68.05,68.56
Tapanuli Selatan,68.04,68.69,69.1,69.75,70.12,70.33,70.92,71.55
Tapanuli Tengah,67.27,67.96,68.27,68.86,69.23,69.61,70.31,70.91
Tapanuli Utara,71.96,72.38,72.91,73.33,73.47,73.76,74.14,74.65
Toba Samosir / Toba,73.61,73.87,74.48,74.92,75.16,75.39,75.96,76.38
Labuhan Batu,70.5,71,71.39,71.94,72.01,72.09,72.92,73.69
Asahan,68.71,69.1,69.49,69.92,70.29,70.49,71.13,71.56
Simalungun,71.48,71.83,72.49,72.98,73.25,73.4,73.77,74.29
Dairi,69.61,70.36,70.89,71.42,71.57,71.84,72.56,73.27
Karo,73.29,73.53,73.91,74.25,74.43,74.83,75.36,75.98
Deli Serdang,73.51,73.94,74.92,75.43,75.44,75.53,76.19,76.52
Langkat,69.13,69.82,70.27,70.76,71,71.35,71.86,72.21
Nias Selatan,59.14,59.85,60.75,61.59,61.89,62.35,63.17,64.12
Humbang Hasundutan,66.56,67.3,67.96,68.83,68.87,69.41,70.32,70.75
Pakpak Bharat,65.81,66.25,66.63,67.47,67.59,67.94,68.85,69.58
Samosir,68.82,69.43,69.99,70.55,70.63,70.83,71.67,72.08
Serdang Bedagai,68.77,69.16,69.69,70.21,70.24,70.56,71.21,71.75
Batu Bara,66.69,67.2,67.67,68.35,68.36,68.58,69.51,70.31
Padang Lawas Utara,68.05,68.34,68.77,69.29,69.85,70.11,70.93,71.63
Padang Lawas,66.23,66.82,67.59,68.16,68.25,68.64,69.58,70.34
Labuhan Batu Selatan,70.28,70.48,70.98,71.39,71.4,71.69,72.16,72.82
Labuhan Batu Utara,70.26,70.79,71.08,71.43,71.61,71.87,72.77,73.63
Nias Utara,60.23,60.57,61.08,61.98,62.36,62.82,63.75,64.64
Nias Barat,59.03,59.56,60.42,61.14,61.51,61.99,62.93,63.7
Kota Sibolga,72,72.28,72.65,73.41,73.63,73.94,74.74,75.2
Kota Tanjung Balai,67.09,67.41,68,68.51,68.65,68.94,69.86,70.59
Kota Pematang Siantar,76.9,77.54,77.88,78.57,78.75,79.17,79.7,80.46
Kota Tebing Tinggi,73.58,73.9,74.5,75.08,75.17,75.42,76.17,76.98
Kota Medan,79.34,79.98,80.65,80.97,80.98,81.21,81.76,82.19
Kota Binjai,74.11,74.65,75.21,75.89,75.89,76.01,76.95,77.6
Kota Padangsidimpuan,73.42,73.81,74.38,75.06,75.22,75.48,76.05,76.44
Kota Gunungsitoli,66.85,67.68,68.33,69.3,69.31,69.61,70.23,70.68
SUMATERA BARAT,70.73,71.24,71.73,72.39,72.38,72.65,73.26,73.75
Kepulauan Mentawai,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13
Pesisir Selatan,68.39,68.74,69.4,70.08,69.9,70.03,70.84,71.44
Solok,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63
Sijunjung,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65
Tanah Datar,70.11,70.37,71.25,72.14,72.33,72.46,73.29,73.98
Padang Pariaman,68.44,68.9,69.71,70.59,70.61,70.76,71.63,72.61
Agam,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98
Lima Puluh Kota,68.37,68.69,69.17,69.67,69.47,69.68,70.28,70.7
Pasaman,64.57,64.94,65.6,66.46,66.64,66.77,67.41,68.13
Solok Selatan,67.47,67.81,68.45,68.94,69.04,69.23,69.71,70.58
Dharmasraya,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04
Pasaman Barat,66.03,66.83,67.43,68.21,68.49,68.76,69.57,70.19
Kota Padang,81.06,81.58,82.25,82.68,82.82,82.9,83.29,83.58
Kota Solok,77.07,77.44,77.89,78.38,78.29,78.41,79.23,79.58
Kota Sawah Lunto,70.67,71.13,71.72,72.39,72.64,72.88,73.73,74.42
Kota Padang Panjang,76.5,77.01,77.3,78,77.93,77.97,78.78,79.26
Kota Bukittinggi,79.11,79.8,80.11,80.71,80.58,80.7,81.42,81.78
Kota Payakumbuh,77.56,77.91,78.23,78.95,78.9,79.08,79.53,79.97
Kota Pariaman,75.44,75.71,76.26,76.7,76.9,77.07,77.65,78.13
RIAU,71.2,71.79,72.44,73,72.71,72.94,73.52,74.04
Kuantan Singingi,68.66,69.53,69.96,70.78,70.31,70.6,71.09,71.67
Indragiri Hulu,68.67,68.97,69.66,70.05,69.83,70.01,70.46,71.04
Indragiri Hilir,65.35,66.17,66.51,66.84,66.54,66.63,67.37,67.98
Pelalawan,70.21,70.59,71.44,71.85,71.56,72.08,72.93,73.59
Siak,72.7,73.18,73.73,74.07,73.68,73.98,74.5,74.98
Kampar,71.39,72.19,72.5,73.15,72.83,73.02,73.84,74.24
Rokan Hulu,67.86,68.67,69.36,69.93,69.38,69.67,70.31,71.02
Bengkalis,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97
