Kabupaten/kota,Luas wilayah (km2)[2]
Aceh,56834.77
Aceh Barat,2782.87
Aceh Barat Daya,1882.28
Aceh Besar,2891.48
Aceh Jaya,3872.35
Aceh Selatan,4175.38
Aceh Singkil,1852.82
 Aceh Tamiang,2187.66
Aceh Tengah,4468.42
Aceh Tenggara,4179.12
Aceh Timur,5409.41
Aceh Utara,2705.26
Bener Meriah,1907.4
Bireuen,1796.99
Gayo Lues,5541.29
Nagan Raya,3524.16
Pidie,3177.49
Pidie Jaya,939
Simeulue,1821.75
Kota Banda Aceh,56.77
Kota Langsa,224.24
Kota Lhokseumawe,132.97
Kota Sabang,122.06
Kota Subulussalam,1183.6
Sumatera Utara,72460.76
Asahan,3737.83
Batu Bara,888.14
Dairi,2083.6
Deli Serdang,2581.23
Humbang Hasundutan,2351.51
Karo,2206.88
Labuhanbatu,2772.38
Labuhanbatu Selatan,3079.61
Labuhanbatu Utara,3686.01
Langkat,6140.04
Mandailing Natal,6547.26
Nias,902.4
Nias Barat,464.22
Nias Selatan,2531.7
Nias Utara,1238.06
Padang Lawas,3914.41
Padang Lawas Utara,3945.56
Pakpak Bharat,1365.61
Samosir,1850.04
Serdang Bedagai,1949.18
Simalungun,4601.48
Tapanuli Selatan,4201.04
Tapanuli Tengah,2307.68
Tapanuli Utara,3895.6
Toba,2291.62
Kota Binjai,93.77
Kota Gunungsitoli,208.68
Kota Medan,279.29
Kota Padangsidimpuan,159.3
Kota Pematangsiantar,75.92
Kota Sibolga,11.47
Kota Tanjungbalai,60.07
Kota Tebing Tinggi,39.17
Sumatera Barat,42119.59
Agam,2226.27
Dharmasraya,2920.93
Kepulauan Mentawai,5983.22
Lima Puluh Kota,3273.41
Padang Pariaman,1342.27
Pasaman,3902.44
Pasaman Barat,3852.99
Pesisir Selatan,6045.65
Sijunjung,3150.58
Solok,3590.4
Solok Selatan,3282.14
Tanah Datar,1377.19
Kota Bukittinggi,24.17
Kota Padang,694.38
Kota Padang Panjang,23.56
Kota Pariaman,64.77
Kota Payakumbuh,74.55
Kota Sawahlunto,231.95
Kota Solok,58.72
Riau,89935.89
Bengkalis,8616.36
Indragiri Hilir,13521.26
Indragiri Hulu,7871.85
Kampar,10352.8
Kepulauan Meranti,3623.56
Kuantan Singingi,5457.86
Pelalawan,13262.11
Rokan Hilir,9068.46
Rokan Hulu,7658.15
Siak,7805.54
Kota Dumai,2059.61
Kota Pekanbaru,638.33
Jambi,49026.59
Batanghari,5387.52
Bungo,4760.83
Kerinci,3445.2
Merangin,7540.12
Muaro Jambi,5225.8
Sarolangun,5935.89
Tanjung Jabung Barat,5546.06
Tanjung Jabung Timur,4546.62
Tebo,6103.74
Kota Jambi,169.89
Kota Sungai Penuh,364.92
Sumatera Selatan,86771.7
Banyuasin,12262.76
Empat Lawang,2234.1
Lahat,4333.07
Muara Enim,6763.91
Musi Banyuasin,14550.79
Musi Rawas,6122.59
Musi Rawas Utara,5937.8
Ogan Ilir,2302.86
Ogan Komering Ilir,17071.33
Ogan Komering Ulu,3774.5
Ogan Komering Ulu Selatan,4369.25
Ogan Komering Ulu Timur,3412.72
Penukal Abab Lematang Ilir,1842.56
Kota Lubuk Linggau,367.73
Kota Pagaralam,625.91
Kota Palembang,352.51
Kota Prabumulih,447.31
Bengkulu,20128.35
Bengkulu Selatan,1219.22
Bengkulu Tengah,1132.38
Bengkulu Utara,4481.99
Kaur,2608.56
Kepahiang,738.97
Lebong,1666.62
Mukomuko,4138.68
Rejang Lebong,1559.42
Seluma,2432.16
Kota Bengkulu,150.35
Lampung,33570.25
Lampung Barat,2107.99
Lampung Selatan,2227.38
Lampung Tengah,4559.57
Lampung Timur,3860.92
Lampung Utara,2669.3
Mesuji,2200.41
Pesawaran,1288.08
Pesisir Barat,2939.6
Pringsewu,617.19
Tanggamus,2947.59
Tulang Bawang,3116.06
Tulang Bawang Barat,1257.09
Way Kanan,3522.11
Kota Bandar Lampung,183.75
Kota Metro,73.21
Kepulauan Bangka Belitung,16690.13
Bangka,3016.85
Bangka Barat,2851.41
Bangka Selatan,3598.24
Bangka Tengah,2259.98
Belitung,2270.71
Belitung Timur,2588.4
Kota Pangkalpinang,104.54
Kepulauan Riau,8269.71
Bintan,1317.15
Karimun,930.45
Kepulauan Anambas,627.03
Lingga,2210.82
Natuna,1999.16
Kota Batam,1034.73
Kota Tanjungpinang,150.37
Daerah Khusus Ibukota Jakarta,664.01
Administrasi Kepulauan Seribu,10.18
Kota Administrasi Jakarta Barat,124.44
Kota Administrasi Jakarta Pusat,52.38
Kota Administrasi Jakarta Selatan,154.32
Kota Administrasi Jakarta Timur,182.7
Kota Administrasi Jakarta Utara,139.99
Jawa Barat,35377.76
Bandung,1767.96
Bandung Barat,1305.77
Bekasi,1224.88
Bogor,2710.62
Ciamis,1414.71
Cianjur,3840.16
Cirebon,984.52
Garut,3074.07
Indramayu,2040.11
Karawang,1652.2
Kuningan,1110.56
Majalengka,1204.24
Pangandaran,1010
Purwakarta,825.74
Subang,1893.95
Sukabumi,4145.7
Sumedang,1518.33
Tasikmalaya,2551.19
Kota Bandung,167.67
Kota Banjar,113.49
Kota Bekasi,206.61
Kota Bogor,118.5
Kota Cimahi,39.27
Kota Cirebon,37.36
Kota Depok,200.29
Kota Sukabumi,48.25
Kota Tasikmalaya,171.61
Jawa Tengah,32817.69
Banjarnegara,1023.73
Banyumas,1335.3
Batang,788.65
Blora,1821.59
Boyolali,1008.45
Brebes,1902.37
Cilacap,2124.47
Demak,900.12
Grobogan,2013.86
Jepara,1059.25
Karanganyar,775.44
Kebumen,1211.74
Kendal,1118.13
Klaten,658.22
Kudus,425.15
Magelang,1102.93
Pati,1489.19
Pekalongan,837
Pemalang,1118.03
Purbalingga,677.55
Purworejo,1091.49
Rembang,887.13
Semarang,950.21
Sragen,941.54
Sukoharjo,489.12
Tegal,876.1
Temanggung,837.71
Wonogiri,1793.67
Wonosobo,981.41
Kota Magelang,16.06
Kota Pekalongan,45.25
Kota Salatiga,57.36
Kota Semarang,373.78
Kota Surakarta,46.01
Kota Tegal,39.68
Daerah Istimewa Yogyakarta,3185.81
Bantul,506.86
Gunungkidul,1485.36
Kulon Progo,586.27
Sleman,574.82
Kota Yogyakarta,32.5
Jawa Timur,45609.78
Bangkalan,1001.44
Banyuwangi,3593.06
Blitar,1336.48
Bojonegoro,2198.79
Bondowoso,1525.97
Gresik,1191.25
Jember,3092.34
Jombang,1115.09
Kediri,1386.05
Lamongan,1782.05
Lumajang,1790.9
Madiun,1037.58
Magetan,688.84
Malang,3530.65
Mojokerto,717.83
Nganjuk,1224.25
Ngawi,1295.98
Pacitan,1389.92
Pamekasan,792.24
Pasuruan,1474.02
Ponorogo,1305.7
Probolinggo,1696.21
Sampang,1233.08
Sidoarjo,634.38
Situbondo,1669.87
Sumenep,1998.54
Trenggalek,1147.22
Tuban,1834.15
Tulungagung,1055.65
Kota Batu,136.74
Kota Blitar,32.57
Kota Kediri,63.4
Kota Madiun,33.29
Kota Malang,145.28
Kota Mojokerto,16.47
Kota Pasuruan,35.29
Kota Probolinggo,56.67
Kota Surabaya,350.54
Banten,9662.92
Lebak,3426.56
Pandeglang,2746.89
Serang,1734.28
Tangerang,1011.86
Kota Cilegon,175.5
Kota Serang,266.71
Kota Tangerang,153.93
Kota Tangerang Selatan,147.19
Bali,5590.21
Badung,398.75
Bangli,526.76
Buleleng,1322.75
Gianyar,364.36
Jembrana,849.13
Karangasem,839.32
Klungkung,313.96
Tabanan,849.31
Kota Denpasar,125.87
Nusa Tenggara Barat,18598.82
Bima,3405.63
Dompu,2391.54
Lombok Barat,923.06
Lombok Tengah,1095.03
Lombok Timur,1230.76
Lombok Utara,776.25
Sumbawa,6643.98
Sumbawa Barat,1849.02
Kota Bima,222.25
Kota Mataram,61.3
Nusa Tenggara Timur,47426.43
Alor,2864.6
Belu,1284.97
Ende,2046.5
Flores Timur,1813.2
Kupang,5434.76
Lembata,1266
Malaka,1160.63
Manggarai,2096.44
Manggarai Barat,2397.03
Manggarai Timur,2642.93
Nagekeo,1416.96
Ngada,1645.88
Rote Ndao,1280
Sabu Raijua,460.54
Sikka,1731.9
Sumba Barat,737.42
Sumba Barat Daya,1480.46
Sumba Tengah,1868.74
Sumba Timur,7000.5
Timor Tengah Selatan,3947
Timor Tengah Utara,2669.7
Kota Kupang,180.27
Kalimantan Barat,149932.06
