Year,Province,Town,Food (%),Wood (%),Paper-cartons (%),Plastic (%),Metal(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),,https://sipsn.menlhk.go.id/sipsn/public/data/komposisi
2022,Aceh,Kab. Aceh Selatan,,,,,,,,,,,
2022,Aceh,Kab. Aceh Tenggara,41.00,11.00,2.00,18.00,2.00,5.00,17.00,4.00,,,
2022,Aceh,Kab. Aceh Timur,37.00,14.00,5.00,26.00,5.00,3.00,2.00,4.00,4.00,,
2022,Aceh,Kab. Aceh Barat,41.80,13.30,10.70,18.20,3.10,2.60,1.80,2.00,6.50,,
2022,Aceh,Kab. Pidie,8.50,7.50,19.30,35.70,4.00,1.00,3.00,2.00,19.00,,
2022,Aceh,Kab. Simeulue,5.18,13.05,11.93,35.73,16.88,6.65,5.55,2.03,3.00,,
2022,Aceh,Kab. Aceh Singkil,30.00,10.00,15.00,22.00,2.00,5.00,3.00,2.00,11.00,,
2022,Aceh,Kab. Aceh Barat Daya,32.50,11.00,20.00,12.00,11.00,1.50,3.00,4.00,5.00,,
2022,Aceh,Kab. Gayo Lues,35.00,23.00,5.00,25.00,,,,2.00,10.00,,
2022,Aceh,Kab. Aceh Jaya,65.00,1.00,11.00,14.00,3.50,1.00,1.00,2.50,1.00,,
2022,Aceh,Kab. Nagan Raya,38.00,14.00,11.00,20.00,1.00,1.00,2.00,1.00,12.00,,
2022,Aceh,Kab. Aceh Tamiang,35.00,15.00,15.00,30.00,1.00,1.00,1.00,1.00,1.00,,
2022,Aceh,Kab. Bener Meriah,21.00,25.00,19.00,18.00,3.00,3.00,3.00,3.00,5.00,,
2022,Aceh,Kab. Pidie Jaya,19.00,26.30,13.00,26.00,2.50,3.50,3.70,3.50,2.50,,
2022,Aceh,Kota Banda Aceh,32.40,20.60,3.00,4.80,4.60,6.80,13.20,4.75,9.85,,
2022,Aceh,Kota Sabang,26.50,16.60,10.50,22.60,6.10,4.30,4.30,3.70,5.40,,
2022,Aceh,Kota Langsa,19.00,20.00,8.00,12.00,14.00,10.00,7.00,8.00,2.00,,
2022,Aceh,Kota Subulussalam,28.00,15.00,10.00,18.00,2.00,7.00,8.00,2.00,10.00,,
2021,Aceh,Kab. Gayo Lues,40.00,14.00,12.00,17.00,3.00,3.00,2.00,2.00,7.00,,
2021,Aceh,Kota Banda Aceh,30.40,17.30,11.10,16.60,1.00,3.50,3.00,3.00,14.10,,
2021,Aceh,Kota Sabang,26.50,16.60,10.50,22.60,6.10,4.30,4.30,3.70,5.40,,
2021,Aceh,Kota Langsa,18.00,21.00,9.00,10.00,14.00,10.00,7.00,7.00,4.00,,
2021,Aceh,Kota Subulussalam,30.00,10.00,15.00,15.00,2.00,8.00,3.00,2.00,15.00,,
2020,Aceh,Kab. Aceh Timur,37.00,14.00,5.00,26.00,5.00,3.00,2.00,4.00,4.00,,
2020,Aceh,Kab. Aceh Tengah,22.00,18.00,7.00,26.00,3.00,11.00,5.00,5.00,3.00,,
2020,Aceh,Kab. Simeulue,5.18,13.05,11.93,35.73,16.88,6.65,5.55,2.03,3.00,,
2020,Aceh,Kab. Aceh Jaya,,,,,,,,,,,
2020,Aceh,Kab. Bener Meriah,20.00,20.00,10.00,15.00,5.00,10.00,5.00,5.00,10.00,,
2020,Aceh,Kota Banda Aceh,35.20,11.50,3.00,6.80,4.50,7.50,9.30,4.50,17.70,,
2020,Aceh,Kota Sabang,,,,,,,,,,,
2020,Aceh,Kota Langsa,18.00,21.00,4.00,8.00,13.00,10.00,7.00,8.00,11.00,,
2019,Aceh,Kab. Aceh Selatan,,,,,,,,,,,
2019,Aceh,Kab. Aceh Tengah,20.00,20.00,10.00,25.00,5.00,10.00,5.00,3.00,2.00,,
2019,Aceh,Kab. Simeulue,5.75,14.50,13.25,35.25,18.75,3.50,3.75,2.25,3.00,,
2019,Aceh,Kab. Gayo Lues,40.00,14.00,12.00,17.00,3.00,3.00,2.00,2.00,7.00,,
2019,Aceh,Kab. Bener Meriah,,,,,,,,,,,
2019,Aceh,Kota Banda Aceh,35.20,11.50,3.00,6.80,4.50,7.50,9.30,4.50,17.70,,
2019,Aceh,Kota Sabang,,,,,,,,,,,
2019,Aceh,Kota Langsa,17.00,20.00,7.00,7.00,12.00,6.00,8.00,5.00,7.00,,
2022,Bali,Kab. Jembrana,27.37,47.94,0.84,19.04,0.71,0.03,3.13,0.61,0.33,,
2022,Bali,Kab. Badung,16.00,33.90,11.10,28.40,2.60,2.10,0.67,0.90,4.33,,
2022,Bali,Kab. Gianyar,,,,,,,,,,,
2022,Bali,Kab. Klungkung,29.00,41.00,4.00,14.00,1.00,,7.00,,4.00,,
2022,Bali,Kab. Bangli,13.00,69.00,1.80,5.50,3.40,0.01,1.03,3.20,3.06,,
2022,Bali,Kab. Karangasem,59.00,10.00,18.00,8.00,1.00,1.00,1.00,1.00,1.00,,
2022,Bali,Kab. Buleleng,4.00,68.41,6.69,14.69,0.23,1.79,0.52,0.77,2.90,,
2022,Bali,Kota Denpasar,6.57,69.85,6.34,8.21,1.52,0.47,0.55,1.12,5.37,,
2021,Bali,Kab. Jembrana,11.22,30.88,11.10,22.10,2.10,7.00,7.00,2.70,5.90,,
2021,Bali,Kab. Tabanan,5.00,39.00,37.00,42.00,,,,,,,
2021,Bali,Kab. Badung,16.00,33.90,11.10,28.40,2.60,2.10,0.67,0.90,4.33,,
2021,Bali,Kab. Gianyar,,58.73,10.89,17.08,3.15,0.76,0.74,,8.65,,
2021,Bali,Kab. Bangli,12.00,70.00,2.00,3.80,1.50,0.40,0.50,0.80,9.00,,
2021,Bali,Kab. Buleleng,2.99,62.57,5.63,10.18,2.82,5.33,4.55,3.33,2.60,,
2021,Bali,Kota Denpasar,29.30,33.90,6.90,13.70,0.80,0.70,0.30,2.10,12.30,,
2020,Bali,Kab. Jembrana,11.22,30.88,11.10,22.10,2.10,7.00,7.00,2.70,5.90,,
2020,Bali,Kab. Tabanan,5.00,39.00,37.00,42.00,,,,2.00,,,
2020,Bali,Kab. Badung,16.00,33.90,5.96,27.61,2.63,2.16,0.67,0.99,10.08,,
2020,Bali,Kab. Gianyar,,58.73,10.89,17.08,3.15,0.76,0.74,,8.65,,
2020,Bali,Kab. Bangli,15.00,67.00,2.00,3.11,11.00,0.09,0.50,1.20,0.10,,
2020,Bali,Kab. Karangasem,,,,,,,,,,,
2020,Bali,Kab. Buleleng,2.99,62.57,5.63,10.18,2.82,5.33,4.55,3.33,2.60,,
2020,Bali,Kota Denpasar,70.00,6.00,2.00,15.00,,1.00,1.00,,5.00,,
2019,Bali,Kab. Jembrana,11.22,30.88,11.10,22.10,2.10,7.00,7.00,2.70,5.90,,
2019,Bali,Kab. Badung,0.30,51.80,1.60,,,,,,46.30,,
2019,Bali,Kab. Gianyar,35.20,23.40,10.89,17.01,3.50,0.70,0.70,0.40,8.20,,
2019,Bali,Kab. Bangli,12.00,70.00,2.00,4.00,1.00,1.00,0.50,0.50,9.00,,
2019,Bali,Kab. Karangasem,,,,,,,,,,,
2019,Bali,Kab. Buleleng,2.99,62.57,5.63,10.18,2.82,5.33,4.55,3.33,2.60,,
2019,Bali,Kota Denpasar,70.00,5.00,2.00,15.00,1.00,1.00,1.00,,5.00,,
2022,Banten,Kab. Lebak,30.00,12.00,10.00,15.00,8.00,5.00,5.00,10.00,5.00,,
2022,Banten,Kab. Tangerang,38.15,19.50,14.89,18.60,1.55,3.16,0.83,2.28,1.04,,
2022,Banten,Kab. Serang,,,,,,,,,,,
2022,Banten,Kota Tangerang,57.65,0.44,13.18,19.66,1.07,2.32,0.80,0.37,4.51,,
2022,Banten,Kota Cilegon,40.00,17.00,10.00,16.00,4.00,,,1.00,,,
2022,Banten,Kota Serang,66.05,5.06,8.10,20.05,0.30,0.13,0.21,0.09,0.01,,
2022,Banten,Kota Tangerang Selatan,35.63,14.08,13.45,17.36,0.38,0.67,0.48,0.85,17.10,,
2021,Banten,Kab. Serang,63.01,,9.13,20.02,1.00,2.00,,0.28,4.56,,
2021,Banten,Kota Cilegon,,,,,,,,,,,
2021,Banten,Kota Tangerang Selatan,,,,,,,,,,,
2020,Banten,Kab. Lebak,30.00,12.00,10.00,15.00,8.00,5.00,5.00,10.00,5.00,,
2020,Banten,Kab. Serang,63.01,,9.13,20.02,1.21,0.24,,1.83,4.56,,
2020,Banten,Kota Cilegon,27.37,,27.68,41.41,,,,7.81,,,
