Year,Province,Regency/City,highest_restriction,start_date
2019,Aceh,ACEH SELATAN,None,n/a
2019,Aceh,ACEH TENGAH,None,n/a
2019,Aceh,BENER MERIAH,None,n/a
2019,Aceh,GAYO LUES,None,n/a
2019,Aceh,KOTA LANGSA,None,n/a
2019,Aceh,KOTA SABANG,None,n/a
2019,Aceh,SIMEULUE,None,n/a
2019,DKI Jakarta,ADM. KEP. SERIBU,None,n/a
2019,Jawa Barat,KOTA TASIKMALAYA,None,n/a
2019,Jawa Barat,PANGANDARAN,None,n/a
2019,Jawa Barat,SUBANG,None,n/a
2019,Jawa Barat,SUMEDANG,None,n/a
2019,Jawa Tengah,BATANG,None,n/a
2019,Jawa Tengah,BOYOLALI,None,n/a
2019,Jawa Tengah,BREBES,None,n/a
2019,Jawa Tengah,CILACAP,None,n/a
2019,Jawa Tengah,GROBOGAN,None,n/a
2019,Jawa Tengah,JEPARA,None,n/a
2019,Jawa Tengah,KEBUMEN,None,n/a
2019,Jawa Tengah,KENDAL,None,n/a
2019,Jawa Tengah,KLATEN,None,n/a
2019,Jawa Tengah,KOTA MAGELANG,None,n/a
2019,Jawa Tengah,PEMALANG,None,n/a
2019,Jawa Tengah,PURWOREJO,None,n/a
2019,Jawa Tengah,REMBANG,None,n/a
2019,Jawa Tengah,SEMARANG,None,n/a
2019,Jawa Tengah,SRAGEN,None,n/a
2019,Jawa Tengah,SUKOHARJO,None,n/a
2019,Jawa Tengah,WONOSOBO,None,n/a
2019,Jawa Timur,BANYUWANGI,None,n/a
2019,Jawa Timur,BOJONEGORO,None,n/a
2019,Jawa Timur,BONDOWOSO,None,n/a
2019,Jawa Timur,KEDIRI,None,n/a
2019,Jawa Timur,KOTA BLITAR,None,n/a
2019,Jawa Timur,KOTA MOJOKERTO,None,n/a
2019,Jawa Timur,KOTA PASURUAN,None,n/a
2019,Jawa Timur,MADIUN,None,n/a
2019,Jawa Timur,MALANG,None,n/a
2019,Jawa Timur,NGANJUK,None,n/a
2019,Jawa Timur,NGAWI,None,n/a
2019,Jawa Timur,PACITAN,None,n/a
2019,Jawa Timur,PASURUAN,None,n/a
2019,Jawa Timur,PROBOLINGGO,None,n/a
2019,Jawa Timur,SAMPANG,None,n/a
2019,Jawa Timur,SIDOARJO,None,n/a
2019,Jawa Timur,SUMENEP,None,n/a
2019,Jawa Timur,TRENGGALEK,None,n/a
2019,Jawa Timur,TUBAN,None,n/a
2019,Kalimantan Barat,BENGKAYANG,None,n/a
2019,Kalimantan Barat,KAPUAS HULU,None,n/a
2019,Kalimantan Barat,KETAPANG,None,n/a
2019,Kalimantan Barat,MEMPAWAH,None,n/a
2019,Kalimantan Barat,SAMBAS,None,n/a
2019,Kalimantan Barat,SANGGAU,None,n/a
2019,Kalimantan Selatan,BALANGAN,None,n/a
2019,Kalimantan Selatan,HULU SUNGAI SELATAN,None,n/a
2019,Kalimantan Selatan,HULU SUNGAI TENGAH,None,n/a
2019,Kalimantan Selatan,KOTABARU,None,n/a
2019,Kalimantan Tengah,BARITO TIMUR,None,n/a
2019,Kalimantan Tengah,BARITO UTARA,None,n/a
2019,Kalimantan Tengah,KAPUAS,None,n/a
2019,Kalimantan Tengah,KATINGAN,None,n/a
2019,Kalimantan Tengah,KOTA PALANGKARAYA,None,n/a
2019,Kalimantan Tengah,KOTAWARINGIN BARAT,None,n/a
2019,Kalimantan Tengah,KOTAWARINGIN TIMUR,None,n/a
2019,Kalimantan Tengah,PULANG PISAU,None,n/a
2019,Kalimantan Tengah,SUKAMARA,None,n/a
2019,Kalimantan Timur,KUTAI KARTANEGARA,None,n/a
2019,Kalimantan Timur,KUTAI TIMUR,None,n/a
2019,Kalimantan Timur,PASER,None,n/a
2019,Kalimantan Timur,PENAJAM PASER UTARA,None,n/a
2019,Kepulauan Bangka Belitung,BANGKA,None,n/a
2019,Kepulauan Bangka Belitung,BANGKA SELATAN,None,n/a
2019,Kepulauan Bangka Belitung,BANGKA TENGAH,None,n/a
2019,Kepulauan Bangka Belitung,KOTA PANGKAL PINANG,None,n/a
2019,Kepulauan Riau,BINTAN,None,n/a
2019,Kepulauan Riau,KARIMUN,None,n/a
2019,Kepulauan Riau,KEPULAUAN ANAMBAS,None,n/a
