Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton),Land Area (km2),Population,GDP,Gini,HDI,highest_restriction,start_date,Years Since Start,Plastic Growth Rate,log_GDP,log_Gini,squareroot_landarea
2019,Aceh,ACEH SELATAN,17.468853000000003,6375.918288,4175.38,238081.0,5479425.66,0.273,66.9,None,2019,0,,6.738735039184234,-0.563837352959244,64.61718037797688
2019,Aceh,ACEH TENGAH,25.2425,9213.435,4468.42,212494.0,7472445.9,0.256,73.14,None,2019,0,,6.873462779460194,-0.5917600346881504,66.8462414799815
2019,Aceh,SIMEULUE,15.4959,5655.55935,1821.75,93228.0,2211885.58,0.34,65.7,None,2019,0,,6.344762657325305,-0.46852108295774486,42.68196340376108
2019,Aceh,GAYO LUES,6.3988000000000005,2335.5620000000004,5541.29,94100.0,2608733.7,0.29,66.87,None,2019,0,,6.416429748504878,-0.5376020021010439,74.43984148290484
2019,Aceh,BENER MERIAH,11.816469,4312.69251,1907.4,148175.0,4423114.94,0.267,72.97,None,2019,0,,6.645728225184471,-0.5734887386354247,43.67379076746144
2019,Aceh,KOTA BANDA ACEH,16.224800000000002,5922.049280000001,56.77,270321.0,18569075.19,0.289,85.07,Fee,2020,-1,,7.268790274774717,-0.5391021572434522,7.534586916347837
2019,Aceh,KOTA SABANG,3.935181,1436.133471,122.06,34874.0,1531587.09,0.281,75.77,None,2019,0,,6.185141696951315,-0.5512936800949201,11.048076755707303
2019,Aceh,KOTA LANGSA,6.6206000000000005,2416.5827000000004,224.24,176811.0,5236223.62,0.363,77.16,None,2019,0,,6.719018185407034,-0.4400933749638875,14.974645237867907
2020,Aceh,ACEH TIMUR,14.976,5466.107400000001,5409.41,422401.0,10605784.63,0.282,67.63,Fee,2020,0,,7.025542803722366,-0.549750891680639,73.5486913547753
2020,Aceh,ACEH TENGAH,26.403,9637.459,4468.42,215576.0,7387369.9,0.331,73.24,Fee,2020,0,4.602235756805162,6.868489845536064,-0.48017200622428124,66.8462414799815
2020,Aceh,SIMEULUE,15.560414999999995,5680.033829999999,1821.75,92865.0,2274361.94,0.296,66.03,Fee,2020,0,0.4327508295001614,6.356859579101361,-0.5287082889410615,42.68196340376108
2020,Aceh,ACEH JAYA,9.057645333333337,3305.827033833333,3872.35,93159.0,2625734.25,0.252,69.75,Fee,2020,0,,6.419250769126321,-0.5985994592184559,62.228209037381106
