Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
ACEH,2017,5189466.0,56834.77,0.329,70.6,
SIMEULUE,2017,91372.0,1821.75,0.307,64.41,1897038.43
ACEH SINGKIL,2017,11949.0,1852.82,0.321,67.37,2126448.17
ACEH SELATAN,2017,231893.0,4175.38,0.321,65.03,4855005.68
ACEH TENGGARA,2017,208481.0,4179.12,0.284,68.09,4245132.35
ACEH TIMUR,2017,419594.0,5409.41,0.265,66.32,9104763.67
ACEH TENGAH,2017,204273.0,4468.42,0.238,72.19,6721944.77
ACEH BARAT,2017,201682.0,2782.87,0.333,70.2,6946915.79
ACEH BESAR,2017,409109.0,2891.48,0.291,72.0,11638043.32
PIDIE,2017,432599.0,3177.49,0.305,69.52,9186845.44
BIREUEN,2017,453224.0,1796.99,0.315,71.11,11410922.68
ACEH UTARA,2017,602554.0,2705.26,0.266,67.67,17502342.88
ACEH BARAT DAYA,2017,145726.0,1882.28,0.246,65.09,3394318.45
GAYO LUES,2017,91024.0,5541.29,0.301,65.01,2425648.98
ACEH TAMIANG,2017,287007.0,2187.66,0.295,67.99,6518270.47
NAGAN RAYA,2017,161329.0,3524.16,0.231,67.78,6571136.5
ACEH JAYA,2017,89618.0,3872.35,0.287,68.07,2275043.95
BENER MERIAH,2017,142526.0,1907.4,0.213,71.89,3998247.28
PIDIE JAYA,2017,154795.0,939.0,0.22,71.73,3012984.37
BANDA ACEH,2017,259913.0,56.77,0.314,,
SABANG,2017,33978.0,122.06,0.247,,
LANGSA,2017,171574.0,224.24,0.342,,
LHOKSEUMAWE,2017,19898.0,132.97,0.291,,
SUBULUSSALAM,2017,78725.0,1183.6,0.33,,
SUMATERA UTARA,2017,14262147.0,72460.76,0.315,70.57,
NIAS,2017,14211.0,902.4,0.249,60.21,3233557.98
MANDAILING NATAL,2017,439505.0,6547.26,0.252,65.13,11712509.18
TAPANULI SELATAN,2017,278587.0,4201.04,0.253,68.69,11967961.49
TAPANULI TENGAH,2017,363705.0,2307.68,0.306,67.96,8545375.88
TAPANULI UTARA,2017,297806.0,3895.6,0.329,72.38,6765691.15
TOBA SAMOSIR / TOBA,2017,181790.0,2291.62,0.292,73.87,
LABUHAN BATU,2017,478593.0,2772.38,0.279,71.0,29032570.39
ASAHAN,2017,718718.0,3737.83,0.267,69.1,32020190.4
SIMALUNGUN,2017,859228.0,4601.48,0.255,71.83,32832126.15
DAIRI,2017,281876.0,2083.6,0.24,70.36,7980474.09
KARO,2017,403207.0,2206.88,0.268,73.53,18064319.94
DELI SERDANG,2017,2114627.0,2581.23,0.281,73.94,93193893.99
LANGKAT,2017,1028309.0,6140.04,0.249,69.82,37032251.85
NIAS SELATAN,2017,314395.0,2531.7,0.269,59.85,5695736.58
HUMBANG HASUNDUTAN,2017,186694.0,2351.51,0.298,67.3,5131048.24
PAKPAK BHARAT,2017,47183.0,1365.61,0.256,66.25,999871.46
SAMOSIR,2017,125099.0,1850.04,0.287,69.43,3751630.67
SERDANG BEDAGAI,2017,612924.0,1949.18,0.275,69.16,24094586.1
BATU BARA,2017,409091.0,888.14,0.234,67.2,29756865.2
PADANG LAWAS UTARA,2017,262895.0,3945.56,0.25,68.34,9898502.97
PADANG LAWAS,2017,269799.0,3914.41,0.248,66.82,9704988.45
LABUHAN BATU SELATAN,2017,326825.0,3079.61,0.22,70.48,23196313.8
LABUHAN BATU UTARA,2017,357691.0,3686.01,0.267,70.79,21161682.73
NIAS UTARA,2017,13609.0,1238.06,0.269,60.57,3018446.48
NIAS BARAT,2017,81279.0,464.22,0.247,59.56,1543968.34
KOTA SIBOLGA,2017,87090.0,11.47,0.323,72.28,4644671.31
KOTA TANJUNG BALAI,2017,171187.0,60.07,0.278,67.41,7424964.63
KOTA PEMATANG SIANTAR,2017,251513.0,75.92,0.349,77.54,12443955.44
KOTA TEBING TINGGI,2017,160686.0,39.17,0.304,73.9,5123015.86
KOTA MEDAN,2017,2247425.0,279.29,0.352,79.98,203035741.5
KOTA BINJAI,2017,270926.0,93.77,0.316,74.65,9904809.54
KOTA PADANGSIDIMPUAN,2017,216013.0,159.3,0.324,73.81,5372284.05
KOTA GUNUNGSITOLI,2017,139281.0,208.68,0.346,67.68,4503049.95
SUMATERA BARAT,2017,5321500.0,42119.59,0.318,71.24,
KEPULAUAN MENTAWAI,2017,88700.0,5983.22,0.319,59.25,4001871.06
PESISIR SELATAN,2017,457300.0,6045.65,0.299,68.74,12069519.39
SOLOK,2017,368700.0,3590.4,0.294,67.86,11783867.88
SIJUNJUNG,2017,230100.0,3150.58,0.333,66.6,7927672.63
TANAH DATAR,2017,346600.0,1377.19,0.262,70.37,11428081.54
PADANG PARIAMAN,2017,411000.0,1342.27,0.28,68.9,19038379.57
AGAM,2017,484300.0,2226.27,0.279,71.1,17834986.34
LIMA PULUH KOTA,2017,376100.0,3273.41,0.262,68.69,13531194.73
PASAMAN,2017,275700.0,3902.44,0.26,64.94,7801982.13
SOLOK SELATAN,2017,165600.0,3282.14,0.299,67.81,4893871.26
DHARMASRAYA,2017,235500.0,2920.93,0.252,70.4,9054276.65
PASAMAN BARAT,2017,427300.0,3852.99,0.286,66.83,13699696.35
KOTA PADANG,2017,92700.0,694.38,0.338,81.58,53091095.1
KOTA SOLOK,2017,68600.0,58.72,0.299,77.44,3469035.58
KOTA SAWAH LUNTO,2017,61400.0,231.95,0.299,71.13,3165214.99
KOTA PADANG PANJANG,2017,52400.0,23.56,0.3,77.01,2974350.89
KOTA BUKITTINGGI,2017,126800.0,24.17,0.313,79.8,7453106.84
KOTA PAYAKUMBUH,2017,131800.0,74.55,0.303,77.91,5639684.44
KOTA PARIAMAN,2017,86600.0,64.77,0.301,75.71,4309010.19
RIAU,2017,6657911.0,89935.89,0.325,71.79,
KUANTAN SINGINGI,2017,321216.0,5457.86,0.325,69.53,29504316.04
INDRAGIRI HULU,2017,425897.0,7871.85,0.325,68.97,38726745.61
INDRAGIRI HILIR,2017,722234.0,13521.26,0.325,66.17,60870710.94
PELALAWAN,2017,438788.0,13262.11,0.325,70.59,43840641.91
SIAK,2017,465414.0,7805.54,0.325,73.18,79593518.66
KAMPAR,2017,832387.0,10352.8,0.325,72.19,71571023.54
ROKAN HULU,2017,641208.0,7658.15,0.325,68.67,30992304.95
BENGKALIS,2017,559081.0,8616.36,0.325,72.27,132978169.7
ROKAN HILIR,2017,679663.0,9068.46,0.325,67.84,73997256.13
KEPULAUAN MERANTI,2017,183297.0,3623.56,0.325,64.7,16725883.45
