Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton)
2019,Aceh,Kab. Aceh Selatan,17.468853000000003,6375.918288
2019,Aceh,Kab. Aceh Tengah,25.2425,9213.435
2019,Aceh,Kab. Simeulue,15.495899999999999,5655.5593499999995
2019,Aceh,Kab. Gayo Lues,6.3988000000000005,2335.5620000000004
2019,Aceh,Kab. Bener Meriah,11.816469000000001,4312.69251
2019,Aceh,Kota Banda Aceh,16.224800000000002,5922.049280000001
2019,Aceh,Kota Sabang,3.935181,1436.133471
2019,Aceh,Kota Langsa,6.6206000000000005,2416.5827000000004
2020,Aceh,Kab. Aceh Timur,14.976,5466.107400000001
2020,Aceh,Kab. Aceh Tengah,26.403,9637.459
2020,Aceh,Kab. Simeulue,15.560414999999997,5680.033829999999
2020,Aceh,Kab. Aceh Jaya,9.057645333333335,3305.827033833333
2020,Aceh,Kab. Bener Meriah,9.6975,3539.631
2020,Aceh,Kota Banda Aceh,16.54372,6038.40816
2020,Aceh,Kota Sabang,5.1654435,1885.3418243333335
2020,Aceh,Kota Langsa,7.6136,2779.0224
2021,Aceh,Kab. Gayo Lues,6.873100000000001,2508.7308000000003
2021,Aceh,Kota Banda Aceh,41.27922,15067.13276
2021,Aceh,Kota Sabang,3.8035799999999997,1388.0106400000002
2021,Aceh,Kota Langsa,9.283,3388.3320000000003
2021,Aceh,Kota Subulussalam,6.7935,2479.3815
2022,Aceh,Kab. Aceh Selatan,20.321361588235295,7417.0505708235305
2022,Aceh,Kab. Aceh Tenggara,16.4376,5999.9346
2022,Aceh,Kab. Aceh Timur,45.0164,16430.947
2022,Aceh,Kab. Aceh Barat,18.46026,6737.92938
2022,Aceh,Kab. Pidie,63.47460000000001,23168.489610000004
2022,Aceh,Kab. Simeulue,15.939152999999997,5817.161996999999
2022,Aceh,Kab. Aceh Singkil,11.6094,4237.4948
2022,Aceh,Kab. Aceh Barat Daya,9.3204,3401.7708
2022,Aceh,Kab. Gayo Lues,10.265,3746.505
2022,Aceh,Kab. Aceh Jaya,6.609400000000001,2412.3806000000004
2022,Aceh,Kab. Nagan Raya,13.872,5063.076000000001
2022,Aceh,Kab. Aceh Tamiang,36.216,13218.84
2022,Aceh,Kab. Bener Meriah,11.878199999999998,4335.2532
2022,Aceh,Kab. Pidie Jaya,20.6778,7547.6544
2022,Aceh,Kota Banda Aceh,12.10608,4418.68224
2022,Aceh,Kota Sabang,3.9052800000000003,1425.69162
2022,Aceh,Kota Langsa,11.332799999999999,4136.4288
2022,Aceh,Kota Subulussalam,6.6726,2435.3945999999996
2019,Bali,Kab. Jembrana,36.18212,13206.394240000001
2019,Bali,Kab. Badung,38.709503600000005,14128.8786712
2019,Bali,Kab. Gianyar,74.05643700000002,27030.599505000002
2019,Bali,Kab. Bangli,4.3212,1577.2148000000002
2019,Bali,Kab. Karangasem,28.449614000000004,10384.109110000001
2019,Bali,Kab. Buleleng,34.120306,12453.986004
2019,Bali,Kota Denpasar,97.72949999999999,35671.224
2020,Bali,Kab. Jembrana,36.3987,13285.48572
2020,Bali,Kab. Tabanan,96.94439999999999,35383.9416
2020,Bali,Kab. Badung,77.65036400000001,28342.813576
2020,Bali,Kab. Gianyar,74.95728799999999,27359.099263999993
2020,Bali,Kab. Bangli,3.389278,1237.077451
2020,Bali,Kab. Karangasem,48.85922857142857,17833.618428571426
2020,Bali,Kab. Buleleng,34.80542,12703.811348000001
2020,Bali,Kota Denpasar,99.48899999999999,36313.282499999994
2021,Bali,Kab. Jembrana,35.96333,13126.45412
2021,Bali,Kab. Tabanan,96.94439999999999,35383.9416
2021,Bali,Kab. Badung,90.82603999999999,33151.67216
2021,Bali,Kab. Gianyar,66.13888399999999,24140.381803999997
2021,Bali,Kab. Bangli,4.2142,1538.23848
2021,Bali,Kab. Buleleng,34.52038,12599.9387
2021,Bali,Kota Denpasar,131.18983,47884.16327999999
2022,Bali,Kab. Jembrana,31.023775999999998,11323.643967999998
2022,Bali,Kab. Badung,92.96171999999999,33930.780719999995
2022,Bali,Kab. Gianyar,75.32282285714285,27492.83034285714
2022,Bali,Kab. Klungkung,14.4382,5270.097000000001
2022,Bali,Kab. Bangli,6.1533999999999995,2245.98275
2022,Bali,Kab. Karangasem,24.9232,9096.9464
2022,Bali,Kab. Buleleng,57.667064,21048.371123
2022,Bali,Kota Denpasar,71.14868100000001,25969.268565000002
2019,Banten,Kab. Pandeglang,69.649272,25422.171347999996
2019,Banten,Kab. Lebak,76.6455,27975.6075
2019,Banten,Kab. Tangerang,615.917325,224809.90001999997
2019,Banten,Kota Tangerang,173.72859900000003,63410.778473
2019,Banten,Kota Cilegon,52.89883199999999,19308.1308
2019,Banten,Kota Tangerang Selatan,82.5008,30112.9248
2020,Banten,Kab. Lebak,77.139,28155.9315
2020,Banten,Kab. Serang,227.39516799999998,82999.31039399999
2020,Banten,Kota Cilegon,154.815426,56507.25779999999
2020,Banten,Kota Serang,104.35000000000001,38088.012
2020,Banten,Kota Tangerang Selatan,185.956272,67873.94721900001
2021,Banten,Kab. Serang,233.00076799999997,85045.354394
2021,Banten,Kota Cilegon,43.53348999999999,15889.577704
2021,Banten,Kota Tangerang Selatan,159.973814,58390.185854
2022,Banten,Kab. Lebak,88.7205,32382.785999999996
2022,Banten,Kab. Tangerang,428.81742,156518.56848000005
2022,Banten,Kab. Serang,201.9334213333333,73705.76456649999
2022,Banten,Kota Tangerang,271.608798,99137.146392
2022,Banten,Kota Cilegon,36.457600000000006,13307.052800000001
2022,Banten,Kota Serang,117.25841500000001,42799.53601
2022,Banten,Kota Tangerang Selatan,168.848568,61629.637048
2019,Bengkulu,Kab. Bengkulu Selatan,5.0688,1850.2168
2019,Bengkulu,Kab. Bengkulu Utara,11.2896,4120.72227
2019,Bengkulu,Kab. Lebong,4.5066,1644.8481
2019,Bengkulu,Kab. Kepahiang,5.772899999999999,2107.23135
2019,Bengkulu,Kab. Bengkulu Tengah,9.847,3594.4061199999996
2020,Bengkulu,Kab. Lebong,7.756200000000001,2830.8545999999997
2020,Bengkulu,Kab. Kepahiang,10.108799999999999,3689.7911999999997
2020,Bengkulu,Kab. Bengkulu Tengah,10.461599999999999,3818.6820000000002
2021,Bengkulu,Kab. Seluma,8.5408,3117.2896
2022,Bengkulu,Kab. Bengkulu Utara,11.945430000000002,4360.08636
2022,Bengkulu,Kab. Seluma,9.4725,3457.5444
2022,Bengkulu,Kab. Lebong,10.361301999999998,3782.105424
2019,D.I. Yogyakarta,Kab. Kulon Progo,29.143128,10637.518962
2019,D.I. Yogyakarta,Kab. Bantul,34.46704,12580.454099999999
2019,D.I. Yogyakarta,Kab. Gunungkidul,41.13638466666666,15014.901278666663
2019,D.I. Yogyakarta,Kab. Sleman,79.72298399999998,29099.04538566666
2019,D.I. Yogyakarta,Kota Yogyakarta,39.05548399999999,14255.355243999998
2020,D.I. Yogyakarta,Kab. Kulon Progo,30.059231999999998,10971.493973999999
2020,D.I. Yogyakarta,Kab. Bantul,127.997697,46718.930703
2020,D.I. Yogyakarta,Kab. Gunungkidul,62.937105333333335,22972.228381333334
2020,D.I. Yogyakarta,Kab. Sleman,122.46687666666666,44700.116879333335
2020,D.I. Yogyakarta,Kota Yogyakarta,38.929241,14209.271154
2021,D.I. Yogyakarta,Kab. Kulon Progo,30.503507999999997,11133.47907
2021,D.I. Yogyakarta,Kab. Sleman,103.0165785,37600.8466795
2021,D.I. Yogyakarta,Kota Yogyakarta,35.32646,12894.232351
2022,D.I. Yogyakarta,Kab. Kulon Progo,30.537948,11146.628262
2022,D.I. Yogyakarta,Kab. Gunungkidul,91.16513549999999,33275.3806515
2022,D.I. Yogyakarta,Kota Yogyakarta,94.121865,34354.5273
2019,DKI Jakarta,Kab. Adm. Kep. Seribu,0.15309000000000003,55.89108
2019,DKI Jakarta,Kota Adm. Jakarta Utara,11.94804,4361.049180000001
2019,DKI Jakarta,Kota Adm. Jakarta Selatan,17.14167,6256.710360000001
2019,DKI Jakarta,Kota Adm. Jakarta Timur,20.28294,7403.266710000001
2020,DKI Jakarta,Kab. Adm. Kep. Seribu,0.15606,56.96316
2020,DKI Jakarta,Kota Adm. Jakarta Pusat,16.345719,5966.210461499999
2020,DKI Jakarta,Kota Adm. Jakarta Utara,25.949123999999998,9471.4579305
2020,DKI Jakarta,Kota Adm. Jakarta Barat,58.567509,21377.1096
2020,DKI Jakarta,Kota Adm. Jakarta Selatan,37.17135,13567.5355905
2020,DKI Jakarta,Kota Adm. Jakarta Timur,43.9873875,16055.4308805
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,1.4348186250000001,523.5605932499999
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,69.0040269375,25186.537420124998
2021,DKI Jakarta,Kota Adm. Jakarta Utara,110.31247143750001,40264.077318375
2021,DKI Jakarta,Kota Adm. Jakarta Barat,162.6597361875,59370.9225980625
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,157.776304125,57588.289932187494
2021,DKI Jakarta,Kota Adm. Jakarta Timur,186.7251135,68154.81056081249
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,3.431302,1252.661144
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,163.03959,59509.504054000005
2022,DKI Jakarta,Kota Adm. Jakarta Utara,262.466792,95800.40785
2022,DKI Jakarta,Kota Adm. Jakarta Barat,388.09195600000004,141653.462286
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,374.82515,136811.10303
2022,DKI Jakarta,Kota Adm. Jakarta Timur,443.637236,161927.61607400002
2019,Gorontalo,Kab. Gorontalo,1.4656,534.9557
2019,Gorontalo,Kab. Pohuwato,13.034559999999997,4757.41728
2019,Gorontalo,Kota Gorontalo,48.943999999999996,17864.1645
2020,Gorontalo,Kab. Gorontalo,1.4659,535.0623
2020,Gorontalo,Kab. Pohuwato,21.171511,7728.179343999999
2021,Gorontalo,Kota Gorontalo,42.363,15462.449999999999
2022,Gorontalo,Kab. Gorontalo,1.5825,577.6271
2022,Gorontalo,Kab. Bone Bolango,9.922139999999999,3621.5811
2022,Gorontalo,Kab. Pohuwato,21.15064,7719.40722
2022,Gorontalo,Kota Gorontalo,50.94,18592.7436
2019,Jambi,Kab. Merangin,28.823999999999998,10521.006
2019,Jambi,Kab. Sarolangun,13.476816000000003,4919.168412000001
2019,Jambi,Kab. Batanghari,16.919,6175.475600000001
2019,Jambi,Kab. Muaro Jambi,8.930232,3259.6976160000004
2019,Jambi,Kab. Bungo,6.691776000000001,2442.4915200000005
2019,Jambi,Kota Jambi,47.257020000000004,17248.653828000002
2019,Jambi,Kota Sungai Penuh,5.632452000000001,2055.7233360000005
2020,Jambi,Kab. Merangin,44.9489,16406.475000000002
2020,Jambi,Kab. Sarolangun,19.883948999999998,7257.380482999999
2020,Jambi,Kab. Batanghari,17.164,6265.0238
2020,Jambi,Kab. Muaro Jambi,14.585494,5324.003739
2020,Jambi,Kab. Tanjung Jabung Barat,50.091,18282.777
2020,Jambi,Kab. Bungo,6.825728000000002,2491.345024
2020,Jambi,Kab. Tebo,24.137009,8809.851029
2020,Jambi,Kota Sungai Penuh,8.772383000000001,3201.658893
2021,Jambi,Kab. Merangin,9.9375,3627.2515000000003
2021,Jambi,Kab. Bungo,9.168600000000001,3346.62514
2021,Jambi,Kota Jambi,190.898019,69677.746086
2022,Jambi,Kab. Merangin,47.177141999999996,17219.869224
2022,Jambi,Kab. Sarolangun,27.469216,10026.26384
2022,Jambi,Kab. Bungo,9.35209,3413.56477
2022,Jambi,Kota Jambi,192.80625,70374.506007
2022,Jambi,Kota Sungai Penuh,10.024000000000001,3659.0879999999997
2019,Jawa Barat,Kab. Sukabumi,268.106366,97858.44004799999
2019,Jawa Barat,Kab. Ciamis,28.366000000000003,10353.597500000002
2019,Jawa Barat,Kab. Sumedang,55.04528700000001,20091.621516000003
2019,Jawa Barat,Kab. Subang,132.75141250000001,48454.142922499996
2019,Jawa Barat,Kab. Bekasi,231.858585,84628.15102
2019,Jawa Barat,Kab. Pangandaran,21.7060025,7922.89659
2019,Jawa Barat,Kota Bogor,65.81,24020.533
2019,Jawa Barat,Kota Sukabumi,10.6776,3897.3666
2019,Jawa Barat,Kota Depok,323.88167999999996,118216.843104
2019,Jawa Barat,Kota Cimahi,42.32904,15450.09648
2019,Jawa Barat,Kota Tasikmalaya,15.765300000000002,5754.284820000001
2020,Jawa Barat,Kab. Bandung,264.27,96458.37800000001
2020,Jawa Barat,Kab. Ciamis,28.756500000000003,10496.035000000002
2020,Jawa Barat,Kab. Cirebon,174.84368999999998,63817.73761999999
2020,Jawa Barat,Kab. Sumedang,55.382163,20214.605139
2020,Jawa Barat,Kab. Bekasi,270.46749333333327,98720.47992333332
2020,Jawa Barat,Kab. Pangandaran,24.3817,8899.15397
2020,Jawa Barat,Kota Bogor,67.376,24592.233
2020,Jawa Barat,Kota Sukabumi,22.31538,8145.299204999999
2020,Jawa Barat,Kota Bandung,257.14993999999996,93859.77652999999
2020,Jawa Barat,Kota Depok,276.716664,101001.66352799999
2020,Jawa Barat,Kota Cimahi,38.91108666666666,14202.358753333332
2020,Jawa Barat,Kota Tasikmalaya,15.784200000000002,5761.17954
2020,Jawa Barat,Kota Banjar,20.616788,7525.55847
2021,Jawa Barat,Kab. Bandung,261.9447358181818,95609.56421872728
2021,Jawa Barat,Kab. Garut,229.61229999999998,83808.46694999999
2021,Jawa Barat,Kab. Ciamis,85.815,31322.7375
2021,Jawa Barat,Kab. Cirebon,255.4990196363636,93257.3073890909
2021,Jawa Barat,Kab. Sumedang,176.94400000000002,64585.15600000001
2021,Jawa Barat,Kab. Indramayu,394.73795999999993,144078.9795
2021,Jawa Barat,Kota Bogor,101.064,36888.3495
2021,Jawa Barat,Kota Sukabumi,22.730786,8296.831465
2021,Jawa Barat,Kota Bandung,265.95584999999994,97073.76500999999
2021,Jawa Barat,Kota Cirebon,38.869747000000004,14187.457655000002
2021,Jawa Barat,Kota Bekasi,370.65443999999997,135288.933
2021,Jawa Barat,Kota Depok,280.700304,102455.53619999999
2021,Jawa Barat,Kota Cimahi,42.86412,15645.149519999999
2022,Jawa Barat,Kab. Bandung,247.68195899999998,90403.63321849999
2022,Jawa Barat,Kab. Garut,228.01125,83223.75774999999
